servicer_loan_identifier ,note_date ,note_rate_percent ,loan_boarding_date ,upb_amount ,current_ir_percent ,next_pmt_due_date ,pi_pmt_amount ,tax_and_insurance_pmt_amount ,total_pmt_amount ,borrower_full_name
8031347844 ,07-12-2021 ,5 ,12/22/2021 ,340000 ,5 ,01-02-2022 ,1825.19 ,595 ,2420.19 ,James Butt
6609778039 ,1/24/2022 ,6 ,08-02-2022 ,80000 ,6 ,01-03-2022 ,479.64 ,0 ,479.64 ,Josephine Darakjy
8590220047 ,01-01-2022 ,5.25 ,1/16/2022 ,400000 ,5.25 ,01-03-2022 ,2208.81 ,0 ,2208.81 ,Art Venere
7171784448 ,6/26/2022 ,6 ,11-07-2022 ,200000 ,6 ,01-08-2022 ,1199.1 ,630 ,1829.1 ,Lenna Paprocki
8591843929 ,11-10-2021 ,5 ,10/26/2021 ,140000 ,5 ,01-12-2021 ,751.55 ,375 ,1126.55 ,Donette Foller
6318098580 ,12/30/2021 ,5.75 ,1/14/2022 ,150000 ,5.75 ,01-02-2022 ,875.36 ,705 ,1580.36 ,Simona Morasca
8174959398 ,9/15/2021 ,5 ,9/30/2021 ,130000 ,5 ,01-11-2021 ,697.87 ,285 ,982.87 ,Mitsue Tollner
6292389671 ,6/26/2022 ,3.75 ,11-07-2022 ,250000 ,3.75 ,01-08-2022 ,1157.79 ,405 ,1562.79 ,Leota Dilliard
6020588176 ,3/27/2022 ,4 ,11-04-2022 ,140000 ,4 ,01-05-2022 ,668.38 ,0 ,668.38 ,Sage Wieser
6394118070 ,8/25/2021 ,4 ,09-09-2021 ,370000 ,4 ,01-10-2021 ,1766.44 ,0 ,1766.44 ,Kris Marrier
7016097102 ,5/24/2022 ,4.75 ,08-06-2022 ,150000 ,4.75 ,01-07-2022 ,782.47 ,0 ,782.47 ,Minna Amigon
6378056797 ,02-10-2021 ,4.25 ,10/17/2021 ,280000 ,4.25 ,01-12-2021 ,1377.43 ,420 ,1797.43 ,Abel Maclead
7090167393 ,12-12-2021 ,3 ,12/27/2021 ,170000 ,3 ,01-02-2022 ,716.73 ,0 ,716.73 ,Kiley Caldarera
8272033685 ,10-03-2022 ,3.5 ,3/25/2022 ,340000 ,3.5 ,01-05-2022 ,1526.75 ,0 ,1526.75 ,Graciela Ruta
8863298307 ,11/24/2021 ,5 ,09-12-2021 ,220000 ,5 ,01-01-2022 ,1181.01 ,0 ,1181.01 ,Cammy Albares
7618034034 ,04-04-2022 ,4 ,4/19/2022 ,280000 ,4 ,01-06-2022 ,1336.76 ,505 ,1841.76 ,Mattie Poquette
7567396973 ,10/16/2021 ,5 ,10/31/2021 ,280000 ,5 ,01-12-2021 ,1503.1 ,610 ,2113.1 ,Meaghan Garufi
8120883202 ,7/17/2021 ,5.5 ,01-08-2021 ,210000 ,5.5 ,01-09-2021 ,1192.36 ,0 ,1192.36 ,Gladys Rim
7384157798 ,09-05-2022 ,3.75 ,5/24/2022 ,240000 ,3.75 ,01-07-2022 ,1111.48 ,0 ,1111.48 ,Yuki Whobrey
8108367256 ,10/17/2021 ,3.75 ,01-11-2021 ,160000 ,3.75 ,01-12-2021 ,740.98 ,0 ,740.98 ,Fletcher Flosi
8169236283 ,8/22/2022 ,5 ,06-09-2022 ,120000 ,5 ,01-10-2022 ,644.19 ,0 ,644.19 ,Bette Nicka
6842094513 ,01-08-2022 ,6 ,8/16/2022 ,270000 ,6 ,01-10-2022 ,1618.79 ,0 ,1618.79 ,Veronika Inouye
7903326328 ,5/14/2022 ,4 ,5/29/2022 ,140000 ,4 ,01-07-2022 ,668.38 ,0 ,668.38 ,Willard Kolmetz
8683400332 ,02-08-2022 ,4.25 ,8/17/2022 ,310000 ,4.25 ,01-10-2022 ,1525.01 ,690 ,2215.01 ,Maryann Royster
6920521824 ,8/24/2021 ,4.5 ,08-09-2021 ,170000 ,4.5 ,01-10-2021 ,861.37 ,475 ,1336.37 ,Alisha Slusarski
